Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Profit Margin,Discounted Price,Order Date,Month_Year,Month-Year
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,22.72,4,0.2,7.384,0.32,18.18,2018-01-04 15:48:38.684843624,2018-01,2018-01
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Art,19.46,7,0.0,5.0596,0.26,19.46,2018-01-04 20:12:04.619085805,2018-01,2018-01
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Appliances,60.34,7,0.0,15.6884,0.26,60.34,2018-01-05 00:35:30.553327987,2018-01,2018-01
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,71.372,2,0.3,-1.0196,-0.01,49.96,2018-01-05 04:58:56.487570168,2018-01,2018-01
Standard Class,Consumer,United States,Orem,Utah,84057,West,Furniture,Tables,1044.63,3,0.0,240.2649,0.23,1044.63,2018-01-05 09:22:22.421812349,2018-01,2018-01
Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,11.648,2,0.2,4.2224,0.36,9.32,2018-01-05 13:45:48.356054530,2018-01,2018-01
Second Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,90.57,3,0.0,11.7741,0.13,90.57,2018-01-05 18:09:14.290296712,2018-01,2018-01
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,3083.43,7,0.5,-1665.0522,-0.54,1541.72,2018-01-05 22:32:40.224538893,2018-01,2018-01
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,9.618,2,0.7,-7.0532,-0.73,2.89,2018-01-06 02:56:06.158781074,2018-01,2018-01
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,124.2,3,0.2,15.525,0.12,99.36,2018-01-06 07:19:32.093023255,2018-01,2018-01
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,3.264,2,0.2,1.1016,0.34,2.61,2018-01-06 11:42:58.027265437,2018-01,2018-01
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,86.304,6,0.2,9.7092,0.11,69.04,2018-01-06 16:06:23.961507618,2018-01,2018-01
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,6.858,6,0.7,-5.715,-0.83,2.06,2018-01-06 20:29:49.895749799,2018-01,2018-01
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,15.76,2,0.2,3.546,0.22,12.61,2018-01-07 00:53:15.829991980,2018-01,2018-01
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,29.472,3,0.2,9.9468,0.34,23.58,2018-01-07 05:16:41.764234162,2018-01,2018-01
First Class,Corporate,United States,Richardson,Texas,75080,Central,Technology,Phones,1097.544,7,0.2,123.4737,0.11,878.04,2018-01-07 09:40:07.698476343,2018-01,2018-01
First Class,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,190.92,5,0.6,-147.963,-0.78,76.37,2018-01-07 14:03:33.632718524,2018-01,2018-01
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,113.328,9,0.2,35.415,0.31,90.66,2018-01-07 18:26:59.566960705,2018-01,2018-01
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,532.3992,3,0.32,-46.9764,-0.09,362.03,2018-01-07 22:50:25.501202886,2018-01,2018-01
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,212.058,3,0.3,-15.147,-0.07,148.44,2018-01-08 03:13:51.435445068,2018-01,2018-01
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Technology,Phones,371.168,4,0.2,41.7564,0.11,296.93,2018-01-08 07:37:17.369687249,2018-01,2018-01
Standard Class,Corporate,United States,Naperville,Illinois,60540,Central,Technology,Phones,147.168,4,0.2,16.5564,0.11,117.73,2018-01-08 12:00:43.303929430,2018-01,2018-01
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,77.88,2,0.0,3.894,0.05,77.88,2018-01-08 16:24:09.238171611,2018-01,2018-01
Standard Class,Corporate,United States,Melbourne,Florida,32935,South,Office Supplies,Storage,95.616,2,0.2,9.5616,0.1,76.49,2018-01-08 20:47:35.172413793,2018-01,2018-01
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,45.98,2,0.0,19.7714,0.43,45.98,2018-01-09 01:11:01.106655974,2018-01,2018-01
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,17.46,2,0.0,8.2062,0.47,17.46,2018-01-09 05:34:27.040898155,2018-01,2018-01
Second Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Storage,211.96,4,0.0,8.4784,0.04,211.96,2018-01-09 09:57:52.975140336,2018-01,2018-01
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,45.0,3,0.0,4.95,0.11,45.0,2018-01-09 14:21:18.909382518,2018-01,2018-01
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,21.8,2,0.0,6.104,0.28,21.8,2018-01-09 18:44:44.843624699,2018-01,2018-01
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,38.22,6,0.0,17.9634,0.47,38.22,2018-01-09 23:08:10.777866880,2018-01,2018-01
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels,75.18,6,0.0,35.3346,0.47,75.18,2018-01-10 03:31:36.712109061,2018-01,2018-01
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,6.16,2,0.0,2.9568,0.48,6.16,2018-01-10 07:55:02.646351243,2018-01,2018-01
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Chairs,89.99,1,0.0,17.0981,0.19,89.99,2018-01-10 12:18:28.580593424,2018-01,2018-01
Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,15.26,7,0.0,6.2566,0.41,15.26,2018-01-10 16:41:54.514835605,2018-01,2018-01
Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,1029.95,5,0.0,298.6855,0.29,1029.95,2018-01-10 21:05:20.449077786,2018-01,2018-01
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,208.56,6,0.0,52.14,0.25,208.56,2018-01-11 01:28:46.383319967,2018-01,2018-01
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,32.4,5,0.0,15.552,0.48,32.4,2018-01-11 05:52:12.317562149,2018-01,2018-01
First Class,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,319.41,5,0.1,7.098,0.02,287.47,2018-01-11 10:15:38.251804330,2018-01,2018-01
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,14.56,2,0.0,6.9888,0.48,14.56,2018-01-11 14:39:04.186046511,2018-01,2018-01
First Class,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,30.0,2,0.0,3.3,0.11,30.0,2018-01-11 19:02:30.120288692,2018-01,2018-01
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,48.48,4,0.2,16.362,0.34,38.78,2018-01-11 23:25:56.054530874,2018-01,2018-01
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,1.68,1,0.0,0.84,0.5,1.68,2018-01-12 03:49:21.988773055,2018-01,2018-01
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,13.98,2,0.0,6.1512,0.44,13.98,2018-01-12 08:12:47.923015236,2018-01,2018-01
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,25.824,6,0.2,9.3612,0.36,20.66,2018-01-12 12:36:13.857257417,2018-01,2018-01
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,146.73,3,0.0,68.9631,0.47,146.73,2018-01-12 16:59:39.791499599,2018-01,2018-01
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,79.76,4,0.0,22.3328,0.28,79.76,2018-01-12 21:23:05.725741780,2018-01,2018-01
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,213.115,5,0.3,-15.2225,-0.07,149.18,2018-01-13 01:46:31.659983961,2018-01,2018-01
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,Art,1113.024,8,0.2,111.3024,0.1,890.42,2018-01-13 06:09:57.594226142,2018-01,2018-01
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Technology,Phones,167.968,4,0.2,62.988,0.38,134.37,2018-01-13 10:33:23.528468324,2018-01,2018-01
First Class,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,75.88,2,0.0,35.6636,0.47,75.88,2018-01-13 14:56:49.462710505,2018-01,2018-01
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,4.616,1,0.2,1.731,0.38,3.69,2018-01-13 19:20:15.396952686,2018-01,2018-01
Second Class,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,19.05,3,0.0,8.763,0.46,19.05,2018-01-13 23:43:41.331194867,2018-01,2018-01
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,831.936,8,0.2,-114.3912,-0.14,665.55,2018-01-14 04:07:07.265437049,2018-01,2018-01
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings,97.04,2,0.2,1.213,0.01,77.63,2018-01-14 08:30:33.199679230,2018-01,2018-01
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,72.784,1,0.2,-18.196,-0.25,58.23,2018-01-14 12:53:59.133921411,2018-01,2018-01
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,1.248,3,0.8,-1.9344,-1.55,0.25,2018-01-14 17:17:25.068163592,2018-01,2018-01
First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,9.708,3,0.6,-5.8248,-0.6,3.88,2018-01-14 21:40:51.002405773,2018-01,2018-01
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,27.24,3,0.2,2.724,0.1,21.79,2018-01-15 02:04:16.936647955,2018-01,2018-01
Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,19.3,5,0.6,-14.475,-0.75,7.72,2018-01-15 06:27:42.870890136,2018-01,2018-01
First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,208.16,1,0.0,56.2032,0.27,208.16,2018-01-15 10:51:08.805132317,2018-01,2018-01
First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,16.74,3,0.0,8.0352,0.48,16.74,2018-01-15 15:14:34.739374498,2018-01,2018-01
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,14.9,5,0.0,4.172,0.28,14.9,2018-01-15 19:38:00.673616680,2018-01,2018-01
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,21.39,1,0.0,6.2031,0.29,21.39,2018-01-16 00:01:26.607858861,2018-01,2018-01
Standard Class,Corporate,United States,Durham,North Carolina,27707,South,Office Supplies,Envelopes,200.984,7,0.2,62.8075,0.31,160.79,2018-01-16 04:24:52.542101042,2018-01,2018-01
First Class,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,230.376,3,0.2,-48.9549,-0.21,184.3,2018-01-16 08:48:18.476343223,2018-01,2018-01
Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,Chairs,301.96,2,0.0,33.2156,0.11,301.96,2018-01-16 13:11:44.410585405,2018-01,2018-01
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,Accessories,19.99,1,0.0,6.7966,0.34,19.99,2018-01-16 17:35:10.344827586,2018-01,2018-01
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,6.16,2,0.0,2.9568,0.48,6.16,2018-01-16 21:58:36.279069767,2018-01,2018-01
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Storage,158.368,7,0.2,13.8572,0.09,126.69,2018-01-17 02:22:02.213311948,2018-01,2018-01
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art,20.1,3,0.0,6.633,0.33,20.1,2018-01-17 06:45:28.147554129,2018-01,2018-01
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Technology,Phones,73.584,2,0.2,8.2782,0.11,58.87,2018-01-17 11:08:54.081796311,2018-01,2018-01
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,6.48,1,0.0,3.1104,0.48,6.48,2018-01-17 15:32:20.016038492,2018-01,2018-01
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,12.96,2,0.0,6.2208,0.48,12.96,2018-01-17 19:55:45.950280673,2018-01,2018-01
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,53.34,3,0.0,16.5354,0.31,53.34,2018-01-18 00:19:11.884522854,2018-01,2018-01
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,32.96,2,0.0,16.1504,0.49,32.96,2018-01-18 04:42:37.818765036,2018-01,2018-01
Standard Class,Home Office,United States,Portland,Oregon,97206,West,Office Supplies,Binders,5.682,1,0.7,-3.788,-0.67,1.7,2018-01-18 09:06:03.753007217,2018-01,2018-01
Second Class,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings,96.53,7,0.0,40.5426,0.42,96.53,2018-01-18 13:29:29.687249398,2018-01,2018-01
First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,51.312,3,0.2,17.9592,0.35,41.05,2018-01-18 17:52:55.621491579,2018-01,2018-01
Standard Class,Corporate,United States,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances,77.88,6,0.0,22.5852,0.29,77.88,2018-01-18 22:16:21.555733761,2018-01,2018-01
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,64.624,7,0.2,22.6184,0.35,51.7,2018-01-19 02:39:47.489975942,2018-01,2018-01
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Accessories,95.976,3,0.2,-10.7973,-0.11,76.78,2018-01-19 07:03:13.424218123,2018-01,2018-01
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,1.788,3,0.8,-3.0396,-1.7,0.36,2018-01-19 11:26:39.358460304,2018-01,2018-01
Second Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper,23.92,4,0.0,11.7208,0.49,23.92,2018-01-19 15:50:05.292702486,2018-01,2018-01
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Technology,Accessories,238.896,6,0.2,-26.8758,-0.11,191.12,2018-01-19 20:13:31.226944667,2018-01,2018-01
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Furniture,Furnishings,102.36,3,0.2,-3.8385,-0.04,81.89,2018-01-20 00:36:57.161186848,2018-01,2018-01
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,Binders,36.882,3,0.7,-25.8174,-0.7,11.06,2018-01-20 05:00:23.095429029,2018-01,2018-01
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,74.112,8,0.2,17.6016,0.24,59.29,2018-01-20 09:23:49.029671210,2018-01,2018-01
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,27.992,1,0.2,2.0994,0.08,22.39,2018-01-20 13:47:14.963913392,2018-01,2018-01
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Office Supplies,Art,3.304,1,0.2,1.0738,0.33,2.64,2018-01-20 18:10:40.898155573,2018-01,2018-01
Standard Class,Home Office,United States,Orland Park,Illinois,60462,Central,Technology,Accessories,339.96,5,0.2,67.992,0.2,271.97,2018-01-20 22:34:06.832397754,2018-01,2018-01
Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,41.96,2,0.0,10.9096,0.26,41.96,2018-01-21 02:57:32.766639935,2018-01,2018-01
Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Art,75.96,2,0.0,22.788,0.3,75.96,2018-01-21 07:20:58.700882117,2018-01,2018-01
Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Binders,27.24,6,0.0,13.3476,0.49,27.24,2018-01-21 11:44:24.635124298,2018-01,2018-01
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,40.096,14,0.2,14.5348,0.36,32.08,2018-01-21 16:07:50.569366479,2018-01,2018-01
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,4.72,2,0.2,1.652,0.35,3.78,2018-01-21 20:31:16.503608660,2018-01,2018-01
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,23.976,3,0.2,7.4925,0.31,19.18,2018-01-22 00:54:42.437850842,2018-01,2018-01
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,130.464,6,0.2,44.0316,0.34,104.37,2018-01-22 05:18:08.372093023,2018-01,2018-01
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Tables,787.53,3,0.0,165.3813,0.21,787.53,2018-01-22 09:41:34.306335204,2018-01,2018-01
Standard Class,Corporate,United States,Bristol,Tennessee,37620,South,Office Supplies,Binders,157.794,1,0.7,-115.7156,-0.73,47.34,2018-01-22 14:05:00.240577385,2018-01,2018-01
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Furniture,Furnishings,47.04,3,0.0,18.3456,0.39,47.04,2018-01-22 18:28:26.174819567,2018-01,2018-01
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders,30.84,4,0.0,13.878,0.45,30.84,2018-01-22 22:51:52.109061748,2018-01,2018-01
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Storage,226.56,6,0.0,63.4368,0.28,226.56,2018-01-23 03:15:18.043303929,2018-01,2018-01
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Envelopes,115.02,9,0.0,51.759,0.45,115.02,2018-01-23 07:38:43.977546110,2018-01,2018-01
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Technology,Phones,68.04,7,0.0,19.7316,0.29,68.04,2018-01-23 12:02:09.911788291,2018-01,2018-01
Second Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,600.558,3,0.3,-8.5794,-0.01,420.39,2018-01-23 16:25:35.846030473,2018-01,2018-01
Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central,Furniture,Tables,617.7,6,0.5,-407.682,-0.66,308.85,2018-01-23 20:49:01.780272654,2018-01,2018-01
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,2.388,2,0.7,-1.8308,-0.77,0.72,2018-01-24 01:12:27.714514835,2018-01,2018-01
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Storage,243.992,7,0.2,30.499,0.12,195.19,2018-01-24 05:35:53.648757016,2018-01,2018-01
Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Chairs,81.424,2,0.2,-9.1602,-0.11,65.14,2018-01-24 09:59:19.582999198,2018-01,2018-01
Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Furnishings,238.56,3,0.0,26.2416,0.11,238.56,2018-01-24 14:22:45.517241379,2018-01,2018-01
First Class,Corporate,United States,Columbus,Ohio,43229,East,Technology,Phones,59.97,5,0.4,-11.994,-0.2,35.98,2018-01-24 18:46:11.451483560,2018-01,2018-01
First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,78.304,2,0.2,29.364,0.38,62.64,2018-01-24 23:09:37.385725741,2018-01,2018-01
First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,21.456,9,0.2,6.9732,0.32,17.16,2018-01-25 03:33:03.319967923,2018-01,2018-01
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,20.04,3,0.0,9.6192,0.48,20.04,2018-01-25 07:56:29.254210104,2018-01,2018-01
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,35.44,1,0.0,16.6568,0.47,35.44,2018-01-25 12:19:55.188452285,2018-01,2018-01
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Art,11.52,4,0.0,3.456,0.3,11.52,2018-01-25 16:43:21.122694466,2018-01,2018-01
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Fasteners,4.02,2,0.0,1.9698,0.49,4.02,2018-01-25 21:06:47.056936648,2018-01,2018-01
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Binders,76.176,3,0.2,26.6616,0.35,60.94,2018-01-26 01:30:12.991178829,2018-01,2018-01
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Supplies,65.88,6,0.0,18.4464,0.28,65.88,2018-01-26 05:53:38.925421010,2018-01,2018-01
Standard Class,Consumer,United States,Roseville,California,95661,West,Furniture,Furnishings,43.12,14,0.0,20.6976,0.48,43.12,2018-01-26 10:17:04.859663191,2018-01,2018-01
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,82.8,2,0.2,10.35,0.12,66.24,2018-01-26 14:40:30.793905372,2018-01,2018-01
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Art,8.82,3,0.0,2.3814,0.27,8.82,2018-01-26 19:03:56.728147554,2018-01,2018-01
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Envelopes,10.86,3,0.0,5.1042,0.47,10.86,2018-01-26 23:27:22.662389735,2018-01,2018-01
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Paper,143.7,3,0.0,68.976,0.48,143.7,2018-01-27 03:50:48.596631916,2018-01,2018-01
Standard Class,Consumer,United States,Independence,Missouri,64055,Central,Office Supplies,Appliances,839.43,3,0.0,218.2518,0.26,839.43,2018-01-27 08:14:14.530874098,2018-01,2018-01
Standard Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Storage,671.93,7,0.0,20.1579,0.03,671.93,2018-01-27 12:37:40.465116279,2018-01,2018-01
Standard Class,Home Office,United States,Newark,Ohio,43055,East,Furniture,Furnishings,93.888,4,0.2,12.9096,0.14,75.11,2018-01-27 17:01:06.399358460,2018-01,2018-01
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,384.45,11,0.0,103.8015,0.27,384.45,2018-01-27 21:24:32.333600641,2018-01,2018-01
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,149.97,3,0.0,5.9988,0.04,149.97,2018-01-28 01:47:58.267842822,2018-01,2018-01
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Furniture,Chairs,1951.84,8,0.0,585.552,0.3,1951.84,2018-01-28 06:11:24.202085004,2018-01,2018-01
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Office Supplies,Binders,171.55,5,0.0,80.6285,0.47,171.55,2018-01-28 10:34:50.136327185,2018-01,2018-01
First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Office Supplies,Appliances,157.92,5,0.2,17.766,0.11,126.34,2018-01-28 14:58:16.070569366,2018-01,2018-01
First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Technology,Phones,203.184,2,0.2,15.2388,0.08,162.55,2018-01-28 19:21:42.004811547,2018-01,2018-01
First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,58.38,7,0.0,26.271,0.45,58.38,2018-01-28 23:45:07.939053729,2018-01,2018-01
